# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=9.0) err(r=9.0) flux(r=10.0) err(r=10.0) flux(r=11.0) err(r=11.0) flux(r=12.0) err(r=12.0) flux(r=13.0) err(r=13.0) flux(r=14.0) err(r=14.0) 
7800.099496 1.9221 1782.8 0.341 -0.030 9.88 14002.5 MSCL1_1702150908 1.006380 0.002161 1.005457 0.002176 1.005509 0.002206 1.005320 0.002245 1.005473 0.002292 1.005131 0.002344 
7800.099878 1.9173 1775.7 0.382 0.367 10.36 12722.7 MSCL1_1702150909 0.995079 0.002160 0.994813 0.002171 0.995863 0.002199 0.996322 0.002236 0.996610 0.002281 0.997187 0.002332 
7800.100283 1.9121 1771.6 -0.132 0.665 9.93 14281.8 MSCL1_1702150910 0.997293 0.002139 0.998717 0.002157 0.999286 0.002186 0.999195 0.002222 0.999433 0.002267 0.999235 0.002317 
7800.100688 1.9070 1775.3 0.514 0.060 9.81 13703.6 MSCL1_1702150911 0.996022 0.002134 0.996334 0.002149 0.996599 0.002177 0.997383 0.002216 0.997980 0.002262 0.998542 0.002315 
7800.101093 1.9019 1780.5 0.552 -0.179 9.95 13262.4 MSCL1_1702150912 1.004281 0.002161 1.003424 0.002172 1.003498 0.002200 1.003431 0.002236 1.002981 0.002280 1.002671 0.002330 
7800.101486 1.8970 1785.3 1.159 -0.579 9.42 14370.5 MSCL1_1702150913 1.001719 0.002147 1.001494 0.002164 1.001623 0.002195 1.001508 0.002234 1.001883 0.002282 1.001396 0.002334 
7800.101868 1.8923 1779.1 1.480 0.439 9.18 14429.9 MSCL1_1702150914 0.998773 0.002142 0.998849 0.002158 0.998363 0.002186 0.999135 0.002227 1.000231 0.002275 1.000792 0.002328 
7800.102262 1.8874 1774.4 0.064 0.824 9.59 14385.5 MSCL1_1702150915 0.995652 0.002117 0.996695 0.002135 0.998264 0.002168 0.999896 0.002210 1.001086 0.002259 1.001733 0.002312 
7800.102655 1.8826 1764.9 0.234 -0.177 8.99 15862.6 MSCL1_1702150916 1.001107 0.002102 1.000679 0.002123 1.000420 0.002156 1.000910 0.002199 1.001668 0.002248 1.002250 0.002302 
7800.103049 1.8778 1761.9 0.593 0.384 9.79 13784.0 MSCL1_1702150917 0.999510 0.002127 1.000386 0.002143 1.000583 0.002171 1.000909 0.002208 1.001938 0.002256 1.002110 0.002307 
7800.103442 1.8730 1745.8 1.017 0.257 8.87 16487.1 MSCL1_1702150918 1.003330 0.002085 1.002866 0.002107 1.003074 0.002141 1.003352 0.002183 1.002970 0.002231 1.002936 0.002284 
7800.103836 1.8682 1732.5 0.674 0.330 7.92 20894.7 MSCL1_1702150919 1.000784 0.002037 1.001951 0.002069 1.003193 0.002110 1.004016 0.002158 1.004579 0.002210 1.005304 0.002267 
7800.104230 1.8635 1722.8 -0.035 -0.170 7.89 21512.8 MSCL1_1702150920 0.999181 0.002019 0.999442 0.002052 1.000174 0.002093 1.000676 0.002141 1.000401 0.002191 1.000717 0.002247 
7800.104636 1.8587 1716.9 0.344 0.305 8.32 18461.5 MSCL1_1702150921 0.998443 0.002031 0.998364 0.002056 0.998642 0.002091 0.998694 0.002133 0.998966 0.002181 0.999179 0.002232 
7800.105017 1.8541 1716.6 2.198 0.236 8.19 17961.3 MSCL1_1702150922 1.003613 0.002035 1.004175 0.002061 1.004801 0.002097 1.005475 0.002141 1.006131 0.002191 1.006985 0.002245 
7800.105411 1.8495 1721.0 -0.119 0.370 8.58 18280.4 MSCL1_1702150923 1.001782 0.002035 1.001201 0.002059 1.000873 0.002094 1.000529 0.002135 1.000594 0.002183 1.001056 0.002237 
7800.105804 1.8449 1728.9 -0.463 0.352 7.91 19946.6 MSCL1_1702150924 1.002216 0.002015 1.002844 0.002046 1.002983 0.002084 1.002802 0.002128 1.003222 0.002178 1.003687 0.002233 
7800.106210 1.8401 1726.7 0.706 0.393 8.54 19104.5 MSCL1_1702150925 1.000133 0.002008 1.000355 0.002038 1.001327 0.002078 1.002269 0.002124 1.002936 0.002175 1.003339 0.002230 
7800.106603 1.8356 1714.2 0.748 -0.335 8.65 18065.1 MSCL1_1702150926 0.999759 0.002017 1.000393 0.002042 1.001049 0.002077 1.001650 0.002120 1.001536 0.002167 1.001574 0.002219 
7800.107008 1.8309 1710.4 0.449 -0.195 8.24 19286.6 MSCL1_1702150927 1.002510 0.002003 1.002369 0.002030 1.002727 0.002067 1.002864 0.002110 1.002898 0.002158 1.003013 0.002210 
7800.107402 1.8264 1721.9 0.782 0.583 8.33 19640.6 MSCL1_1702150928 1.000086 0.002001 1.000565 0.002029 1.000860 0.002066 1.001175 0.002110 1.001209 0.002158 1.001949 0.002213 
7800.107795 1.8219 1727.3 0.799 0.036 8.53 17507.2 MSCL1_1702150929 1.003388 0.002027 1.003691 0.002050 1.004189 0.002085 1.004892 0.002127 1.005065 0.002174 1.005713 0.002228 
7800.108189 1.8174 1727.3 0.565 -0.075 8.56 18257.6 MSCL1_1702150930 1.000734 0.002006 1.000508 0.002031 1.001202 0.002068 1.000908 0.002111 1.001188 0.002160 1.001621 0.002215 
7800.108582 1.8130 1723.1 0.189 0.052 8.37 18031.1 MSCL1_1702150931 1.006728 0.002020 1.006445 0.002044 1.006581 0.002080 1.006570 0.002123 1.006762 0.002172 1.006298 0.002224 
7800.108976 1.8085 1727.4 0.755 0.231 8.44 19866.5 MSCL1_1702150932 1.000738 0.001985 1.000760 0.002013 1.001291 0.002051 1.001850 0.002097 1.002442 0.002147 1.002733 0.002201 
7800.109369 1.8042 1731.4 0.433 0.589 7.91 20739.6 MSCL1_1702150933 1.002704 0.001982 1.002747 0.002013 1.003329 0.002054 1.003352 0.002100 1.003869 0.002152 1.003838 0.002208 
7800.109774 1.7997 1724.2 0.252 0.410 7.97 19842.9 MSCL1_1702150934 1.002249 0.001977 1.001814 0.002006 1.001839 0.002044 1.002109 0.002090 1.002366 0.002142 1.002546 0.002197 
7800.110168 1.7953 1733.6 0.645 -0.069 8.07 20491.8 MSCL1_1702150935 0.999901 0.001973 1.000000 0.002003 1.000527 0.002043 1.001183 0.002089 1.001530 0.002141 1.001858 0.002195 
7800.110561 1.7910 1740.6 0.523 0.011 7.74 21839.1 MSCL1_1702150936 1.001185 0.001969 1.001334 0.002001 1.001719 0.002042 1.002643 0.002090 1.003127 0.002143 1.003310 0.002199 
7800.110955 1.7867 1741.5 0.395 0.137 7.78 21054.4 MSCL1_1702150937 1.000970 0.001969 1.001364 0.002001 1.001992 0.002043 1.002332 0.002091 1.002975 0.002144 1.003123 0.002201 
7800.111348 1.7824 1759.2 0.202 0.820 7.78 20783.4 MSCL1_1702150938 1.004325 0.001973 1.003773 0.002005 1.003450 0.002046 1.003655 0.002094 1.003554 0.002146 1.003868 0.002202 
7800.111730 1.7783 1773.3 1.130 -0.073 7.99 20008.3 MSCL1_1702150939 1.003338 0.001991 1.002721 0.002021 1.002723 0.002061 1.002765 0.002108 1.003066 0.002161 1.002490 0.002216 
7800.112124 1.7740 1779.0 0.184 0.018 7.08 25066.6 MSCL1_1702150940 1.004175 0.001965 1.003777 0.002001 1.003676 0.002046 1.003508 0.002096 1.003559 0.002152 1.003894 0.002212 
7800.112506 1.7700 1783.1 0.232 0.510 7.09 24454.3 MSCL1_1702150941 1.002519 0.001960 1.003157 0.001999 1.003423 0.002045 1.003593 0.002096 1.003946 0.002152 1.003768 0.002212 
7800.112899 1.7658 1796.7 0.685 0.403 7.81 20761.1 MSCL1_1702150942 1.007695 0.001985 1.007668 0.002020 1.008250 0.002065 1.009482 0.002118 1.009309 0.002172 1.009490 0.002232 
7800.113293 1.7616 1799.7 0.860 0.401 7.29 24192.8 MSCL1_1702150943 1.004038 0.001967 1.004023 0.002006 1.004479 0.002054 1.005472 0.002108 1.005888 0.002165 1.005977 0.002226 
7800.113686 1.7575 1792.6 0.356 -0.128 7.61 23566.6 MSCL1_1702150944 0.998551 0.001954 0.998303 0.001991 0.999119 0.002038 0.999755 0.002091 0.999483 0.002146 1.000006 0.002207 
7800.114092 1.7532 1788.1 -0.259 -0.027 7.50 22604.2 MSCL1_1702150945 0.998650 0.001959 0.998413 0.001993 0.998592 0.002036 0.998558 0.002085 0.998332 0.002139 0.998967 0.002199 
7800.114485 1.7491 1786.3 0.575 -0.096 7.99 20396.7 MSCL1_1702150946 1.003674 0.001964 1.003449 0.001996 1.004074 0.002040 1.004274 0.002088 1.004567 0.002143 1.004582 0.002201 
7800.114879 1.7451 1799.5 0.879 0.331 7.76 20893.7 MSCL1_1702150947 1.000831 0.001961 1.000700 0.001994 1.000230 0.002036 1.000320 0.002086 1.000064 0.002139 1.000192 0.002198 
7800.115261 1.7411 1807.3 0.540 0.266 7.59 21162.6 MSCL1_1702150948 1.001325 0.001959 1.002039 0.001996 1.002265 0.002040 1.002805 0.002090 1.003451 0.002147 1.003520 0.002206 
7800.115654 1.7371 1812.3 0.614 0.373 7.66 21162.6 MSCL1_1702150949 0.999452 0.001959 1.000118 0.001994 1.001123 0.002040 1.001828 0.002091 1.001612 0.002146 1.001414 0.002205 
7800.116059 1.7330 1820.7 -0.405 0.247 7.76 20815.9 MSCL1_1702150950 1.003566 0.001968 1.003942 0.002005 1.003855 0.002050 1.004698 0.002104 1.004598 0.002161 1.005170 0.002223 
7800.116453 1.7290 1828.4 1.346 0.165 7.51 22689.9 MSCL1_1702150951 0.998618 0.001955 0.998653 0.001993 0.998710 0.002040 0.998370 0.002092 0.998553 0.002151 0.998081 0.002212 
7800.116858 1.7249 1833.9 -0.186 -0.139 8.79 17525.6 MSCL1_1702150952 1.001221 0.001997 1.002238 0.002029 1.003492 0.002073 1.004199 0.002123 1.004010 0.002177 1.004492 0.002238 
7800.117251 1.7210 1834.2 0.744 0.217 8.72 16491.5 MSCL1_1702150953 1.005106 0.002006 1.004292 0.002033 1.003934 0.002072 1.004097 0.002119 1.004983 0.002175 1.005277 0.002235 
7800.117645 1.7170 1831.9 1.094 0.206 8.48 17053.1 MSCL1_1702150954 0.996776 0.001980 0.997455 0.002011 0.997985 0.002053 0.998945 0.002103 0.999259 0.002158 0.999364 0.002218 
7800.118050 1.7130 1832.0 -0.083 0.079 9.07 14598.7 MSCL1_1702150955 0.997320 0.002033 0.998796 0.002055 0.999868 0.002089 1.000962 0.002133 1.003263 0.002187 1.003999 0.002244 
7800.118443 1.7092 1830.5 0.981 0.092 8.50 17723.0 MSCL1_1702150956 0.996561 0.001963 0.994977 0.001990 0.994854 0.002030 0.994172 0.002077 0.994387 0.002132 0.993682 0.002189 
7800.118848 1.7052 1818.6 0.261 -0.090 8.09 18722.7 MSCL1_1702150957 1.003429 0.001968 1.003836 0.002001 1.004088 0.002043 1.004005 0.002092 1.004638 0.002149 1.005544 0.002210 
7800.119230 1.7015 1812.8 0.145 -0.251 8.29 18208.0 MSCL1_1702150958 1.002280 0.001966 1.002057 0.001995 1.001750 0.002035 1.001832 0.002083 1.002665 0.002138 1.003209 0.002198 
7800.119624 1.6976 1789.6 0.464 0.106 7.89 19379.8 MSCL1_1702150959 1.001616 0.001950 1.000543 0.001979 1.000000 0.002019 1.000074 0.002068 1.000790 0.002124 1.001429 0.002184 
7800.120029 1.6937 1788.0 1.384 0.168 8.18 17777.4 MSCL1_1702150960 1.004744 0.001964 1.005948 0.001993 1.006538 0.002032 1.007020 0.002079 1.007600 0.002133 1.007620 0.002191 
7800.120423 1.6899 1784.9 0.666 0.048 8.99 15507.4 MSCL1_1702150961 1.004487 0.001987 1.003810 0.002007 1.003886 0.002041 1.004562 0.002085 1.003881 0.002132 1.003498 0.002186 
7800.120828 1.6861 1785.5 -0.638 0.520 9.14 15785.6 MSCL1_1702150962 0.999809 0.001973 1.000465 0.001996 1.000572 0.002028 1.001352 0.002072 1.002132 0.002121 1.003040 0.002177 
7800.121221 1.6823 1783.9 0.419 0.237 9.47 13480.6 MSCL1_1702150963 0.997869 0.002022 0.997708 0.002035 0.998059 0.002063 0.998037 0.002101 0.998465 0.002148 0.997773 0.002199 
7800.121615 1.6786 1755.5 0.775 -0.128 10.24 13900.3 MSCL1_1702150964 1.001924 0.001984 1.002493 0.001999 1.003289 0.002028 1.004041 0.002067 1.004626 0.002114 1.004558 0.002164 
7800.122020 1.6748 1753.5 -0.735 0.906 10.68 13258.5 MSCL1_1702150965 0.996258 0.002000 0.997433 0.002011 0.999086 0.002038 0.999508 0.002073 1.001079 0.002119 1.002047 0.002170 
7800.122402 1.6712 1747.3 0.126 -0.012 10.71 12189.4 MSCL1_1702150966 1.004155 0.002016 1.003910 0.002021 1.004108 0.002042 1.003539 0.002074 1.003868 0.002116 1.004557 0.002166 
7800.122807 1.6675 1730.3 0.787 -0.421 9.08 15104.5 MSCL1_1702150967 1.004782 0.001980 1.003360 0.001992 1.001782 0.002017 1.001353 0.002053 1.001741 0.002098 1.001869 0.002148 
7800.123200 1.6638 1702.9 0.711 -0.030 9.35 15738.0 MSCL1_1702150968 1.004502 0.001942 1.003680 0.001958 1.002703 0.001986 1.002456 0.002023 1.002075 0.002067 1.001688 0.002116 
7800.123594 1.6602 1694.5 -0.047 0.093 9.36 14172.8 MSCL1_1702150969 0.997382 0.001948 0.998031 0.001961 0.998218 0.001987 0.998311 0.002022 0.998089 0.002064 0.997787 0.002112 
7800.123976 1.6567 1697.0 -0.023 0.542 9.71 13479.4 MSCL1_1702150970 1.006844 0.001966 1.005126 0.001973 1.004420 0.001996 1.004541 0.002030 1.003855 0.002071 1.003242 0.002117 
7800.124369 1.6531 1684.5 0.838 0.467 8.11 17905.3 MSCL1_1702150971 0.999247 0.001890 0.999908 0.001913 1.000505 0.001947 1.000888 0.001989 1.001188 0.002036 1.001951 0.002088 
7800.124774 1.6495 1681.4 0.874 -0.101 9.03 16155.4 MSCL1_1702150972 1.003946 0.001910 1.003216 0.001929 1.002717 0.001960 1.002788 0.002000 1.002099 0.002045 1.001511 0.002095 
7800.125168 1.6459 1671.8 1.148 -0.704 8.18 19098.2 MSCL1_1702150973 1.001064 0.001869 1.001793 0.001896 1.002728 0.001932 1.004017 0.001977 1.004513 0.002025 1.004458 0.002077 
7800.125573 1.6423 1666.1 -0.134 0.444 8.60 16170.6 MSCL1_1702150974 1.002243 0.001915 1.001953 0.001932 1.001985 0.001961 1.001761 0.001998 1.002293 0.002043 1.002204 0.002091 
7800.125967 1.6388 1665.9 0.591 0.483 8.65 17777.5 MSCL1_1702150975 0.995332 0.001866 0.996043 0.001889 0.997107 0.001924 0.998202 0.001966 0.998903 0.002013 0.999889 0.002066 
7800.126348 1.6354 1659.6 0.240 -0.481 8.48 17701.9 MSCL1_1702150976 0.996648 0.001867 0.996752 0.001889 0.997115 0.001921 0.997302 0.001960 0.997995 0.002007 0.998852 0.002059 
7800.126742 1.6319 1653.6 0.482 -0.213 9.15 14740.4 MSCL1_1702150977 0.995087 0.001915 0.995616 0.001928 0.996428 0.001954 0.997151 0.001989 0.997736 0.002032 0.997921 0.002079 
7800.127147 1.6283 1651.8 1.640 0.376 8.89 15352.7 MSCL1_1702150978 1.004950 0.001901 1.005137 0.001916 1.005970 0.001944 1.006319 0.001981 1.005643 0.002022 1.006169 0.002071 
