# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=9.0) err(r=9.0) flux(r=10.0) err(r=10.0) flux(r=11.0) err(r=11.0) flux(r=12.0) err(r=12.0) flux(r=13.0) err(r=13.0) flux(r=14.0) err(r=14.0) 
7800.099704 1.9195 769.0 1.571 1.098 9.52 8484.4 MSCL2_1702150416 1.008784 0.002271 1.005945 0.002288 1.004211 0.002324 1.003111 0.002372 1.002090 0.002429 1.002103 0.002496 
7800.100445 1.9101 759.6 1.183 1.363 9.05 8832.8 MSCL2_1702150417 1.006547 0.002261 1.005888 0.002283 1.005840 0.002323 1.005248 0.002372 1.005178 0.002431 1.003958 0.002494 
7800.101185 1.9007 758.7 2.001 0.490 8.82 9166.4 MSCL2_1702150418 1.014396 0.002273 1.012732 0.002296 1.011233 0.002333 1.010332 0.002383 1.009567 0.002441 1.008458 0.002506 
7800.101926 1.8915 757.1 2.197 1.278 8.82 9004.7 MSCL2_1702150419 1.001108 0.002271 1.000193 0.002290 0.999210 0.002325 0.998171 0.002371 0.998673 0.002430 0.999014 0.002494 
7800.102655 1.8826 753.3 1.232 1.128 8.28 9894.7 MSCL2_1702150420 1.010541 0.002235 1.009920 0.002263 1.009409 0.002305 1.009090 0.002359 1.007839 0.002417 1.007942 0.002484 
7800.103396 1.8735 746.7 2.392 1.209 8.25 10673.1 MSCL2_1702150421 1.003884 0.002203 1.003581 0.002234 1.002789 0.002276 1.002156 0.002328 1.002014 0.002389 1.001924 0.002456 
7800.104149 1.8645 740.5 1.398 0.883 7.45 14009.6 MSCL2_1702150422 1.000609 0.002137 0.999974 0.002180 0.999981 0.002233 0.999696 0.002293 0.999654 0.002359 1.000114 0.002431 
7800.104879 1.8558 736.5 2.401 1.196 8.10 11529.1 MSCL2_1702150423 1.005785 0.002176 1.005867 0.002210 1.005295 0.002253 1.005912 0.002309 1.007253 0.002372 1.007637 0.002439 
7800.105631 1.8469 735.4 0.594 1.226 7.69 12328.5 MSCL2_1702150424 1.006345 0.002158 1.005467 0.002194 1.005002 0.002243 1.005645 0.002302 1.004094 0.002362 1.003883 0.002431 
7800.106360 1.8384 732.5 1.851 0.931 7.72 12287.2 MSCL2_1702150425 1.003454 0.002142 1.003728 0.002181 1.002997 0.002228 1.002881 0.002285 1.002628 0.002348 1.002449 0.002417 
7800.107101 1.8298 728.8 1.582 0.843 7.43 12896.7 MSCL2_1702150426 1.003239 0.002137 1.002890 0.002175 1.001887 0.002222 1.001888 0.002279 1.001644 0.002341 1.001094 0.002408 
7800.107842 1.8213 728.4 1.899 1.019 7.94 11433.4 MSCL2_1702150427 1.005332 0.002160 1.004602 0.002194 1.004432 0.002241 1.004437 0.002297 1.003099 0.002356 1.002876 0.002423 
7800.108582 1.8130 731.7 1.534 0.957 7.52 12729.4 MSCL2_1702150428 1.005593 0.002142 1.005547 0.002179 1.005337 0.002227 1.005882 0.002284 1.005669 0.002346 1.006363 0.002416 
7800.109323 1.8047 732.2 1.693 1.244 7.40 13539.8 MSCL2_1702150429 1.003253 0.002120 1.002550 0.002160 1.001994 0.002210 1.001623 0.002268 1.000371 0.002330 0.999832 0.002398 
7800.110075 1.7963 729.8 1.706 1.010 7.61 12939.0 MSCL2_1702150430 1.002551 0.002122 1.002490 0.002163 1.002460 0.002215 1.002129 0.002273 1.001814 0.002337 1.001627 0.002406 
7800.110816 1.7882 730.0 1.536 0.983 7.28 13971.1 MSCL2_1702150431 1.002750 0.002113 1.002642 0.002157 1.002795 0.002212 1.002868 0.002272 1.002695 0.002337 1.001870 0.002407 
7800.111557 1.7801 735.3 1.799 1.203 7.40 13131.2 MSCL2_1702150432 0.999136 0.002115 0.998810 0.002156 0.997530 0.002205 0.997600 0.002264 0.998026 0.002329 0.998837 0.002401 
7800.112298 1.7722 742.0 1.267 1.035 6.39 17035.7 MSCL2_1702150433 1.000760 0.002096 1.000292 0.002143 1.000018 0.002200 1.000982 0.002265 1.000886 0.002333 1.001344 0.002406 
7800.113050 1.7642 746.5 1.800 1.191 7.16 14590.1 MSCL2_1702150434 1.001061 0.002109 1.001142 0.002155 1.000519 0.002209 1.000419 0.002271 1.000238 0.002339 1.000000 0.002410 
7800.113779 1.7565 748.6 1.177 0.606 6.95 15660.3 MSCL2_1702150435 0.999744 0.002107 1.000000 0.002154 1.000113 0.002209 1.000000 0.002271 1.000034 0.002339 1.000423 0.002412 
7800.114520 1.7488 757.9 1.480 0.751 7.22 13271.2 MSCL2_1702150436 1.003598 0.002124 1.003541 0.002167 1.003210 0.002219 1.003303 0.002280 1.003071 0.002347 1.003462 0.002419 
7800.115272 1.7410 770.8 1.902 1.086 7.17 14197.8 MSCL2_1702150437 0.999225 0.002112 0.999853 0.002158 1.000296 0.002213 1.000246 0.002275 0.999619 0.002341 0.999604 0.002413 
7800.116024 1.7333 759.1 0.879 1.071 7.21 13925.9 MSCL2_1702150438 1.004120 0.002123 1.004442 0.002170 1.003687 0.002224 1.003629 0.002288 1.003755 0.002357 1.004355 0.002432 
7800.116765 1.7258 763.0 1.389 0.742 7.61 12502.2 MSCL2_1702150439 1.002544 0.002141 1.002385 0.002183 1.002411 0.002235 1.002341 0.002295 1.001896 0.002361 1.002712 0.002434 
7800.117494 1.7185 763.9 2.093 0.938 8.00 11072.1 MSCL2_1702150440 1.002314 0.002159 1.001183 0.002195 1.000786 0.002244 0.999993 0.002302 0.999576 0.002367 1.000162 0.002440 
